ROWNUM;STATION;X;Y;LINE;STATUS;VESTIBULE;MODE_EVEN;MODE_ODD;BPA_NUM;ESC_DATE_CHANGE;ESC_TYPE;ESC_HEIGHT;ESC_NUM;BPA_TYPE;GLOBALID;
94;"Сокол";"37,51524367";"55,80562237";"Замоскворецкая";"Действующая";"Сокол";"в четные дни открытие: 5-20. закрытие на вход: 1-00. закрытие на выход: 1-55; 1й поезд по 1му пути: 5-54-20. по второму пути: 5-28-30; последний поезд по первому пути: 1-47-00. по второму пути: 1-11-00";"в нечетные дни открытие: 5-20. закрытие на вход: 1-00. закрытие на выход: 1-55; 1й поезд по 1му пути: 5-54-20. по второму пути: 5-28-30; последний поезд по первому пути: 1-47-00. по второму пути: 1-12-00";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312236";
95;"Профсоюзная";"37,56338578";"55,67887984";"Калужско-Рижская";"Действующая";"Профсоюзная";"в четные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-50";"в нечетные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-50";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312200";
96;"Профсоюзная";"37,56406322";"55,67867549";"Калужско-Рижская";"Действующая";"Профсоюзная";"в четные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-50";"в нечетные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-50";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312201";
97;"Пушкинская";"37,6040265";"55,76570555";"Таганско-Краснопресненская";"Действующая";"Пушкинская";"в четные дни: открытие: 6-30. закрытие на вход: 22-30. закрытие на выход: 22-30; в нечетные дни открытие: 6-30. закрытие на вход: 22-30. закрытие на выход: 22-30";"в четные дни: 1й поезд по 1му пути: 5-46-00. по второму пути: 5-58-00; последний поезд по первому пути: 1-28-00. по второму пути: 1-27-00; в нечетные дни 1й поезд по 1му пути: 5-53-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-28-00. *";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85312202";
98;"Пушкинская";"37,60632391";"55,76488222";"Таганско-Краснопресненская";"Действующая";"Пушкинская";"в четные дни: открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-35; в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-35";"в четные дни: 1й поезд по 1му пути: 5-46-00. по второму пути: 5-58-00; последний поезд по первому пути: 1-28-00. по второму пути: 1-27-00; в нечетные дни 1й поезд по 1му пути: 5-53-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-28-00. *";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85312203";
99;"Пушкинская";"37,60503414";"55,76528854";"Таганско-Краснопресненская";"Действующая";"Пушкинская";"в четные дни: открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-35; в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-35";"в четные дни: 1й поезд по 1му пути: 5-46-00. по второму пути: 5-58-00; последний поезд по первому пути: 1-28-00. по второму пути: 1-27-00; в нечетные дни 1й поезд по 1му пути: 5-53-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-28-00. *";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85312204";
100;"Пятницкое шоссе";"37,35457284";"55,85485626";"Арбатско-Покровская";"Действующая";"Пятницкое шоссе";"в четные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-55";"в нечетные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-55";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85312205";
101;"Спортивная";"37,56583549";"55,72401129";"Сокольническая";"Действующая";"Спортивная";"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-38; 1й поезд по 1му пути: 5-49-00. по второму пути: 5-46-45; последний поезд по первому пути: 1-33-00. по второму пути: 1-14-30";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-38; 1й поезд по 1му пути: 5-49-00. по второму пути: 5-46-45; последний поезд по первому пути: 1-33-00. по второму пути: 1-14-30";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312244";
102;"Сретенский Бульвар";"37,63712365";"55,76611907";"Люблинская";"Действующая";"Сретенский Бульвар";"открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-49";"1й поезд по 1му пути: 5-52-00. по второму пути: 5-48-00; последний поезд по первому пути: 1-11-00. по второму пути: 1-39-00";"2";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"2 полнофункциональные (все типы билетов); 0 малофункциональные (билеты на 1 и 2 поездки)";"85312245";
103;"Сретенский Бульвар";"37,63757415";"55,76567532";"Люблинская";"Действующая";"Сретенский Бульвар";"открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-49";"1й поезд по 1му пути: 5-52-00. по второму пути: 5-48-00; последний поезд по первому пути: 1-11-00. по второму пути: 1-39-00";"2";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"2 полнофункциональные (все типы билетов); 0 малофункциональные (билеты на 1 и 2 поездки)";"85312246";
104;"Строгино";"37,40110672";"55,80371507";"Арбатско-Покровская";"Действующая";"Строгино";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-56";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-56";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312247";
105;"Улица 1905 года";"37,56227183";"55,76400274";"Таганско-Краснопресненская";"Действующая";"Улица 1905 года";"в четные дни открытие: 5-50. закрытие на вход: 1-00. закрытие на выход: 1-40";"в четные дни: 1й поезд по 1му пути: 5-59-00. по второму пути: 6-03-00; последний поезд по первому пути: 1-23-30. по второму пути: 1-32-00; в нечетные дни 1й поезд по 1му пути: 5-59-00. по второму пути: 6-04-00; последний поезд по первому пути: 1-23-30. *";"2";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 2 малофункциональные (билеты на 1 и 2 поездки)";"85312303";
106;"Строгино";"37,40453972";"55,80372048";"Арбатско-Покровская";"Действующая";"Строгино";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-56; 1й поезд по 1му пути: 6-03-00. по второму пути: 5-41-30; последний поезд по первому пути: 1-54-30. по второму пути: 1-12-00";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-56; 1й поезд по 1му пути: 6-03-00. по второму пути: 5-42-00; последний поезд по первому пути: 1-54-30. по второму пути: 1-12-00";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312250";
107;"Студенческая";"37,54842127";"55,73881951";"Филевская";"Действующая";"Студенческая";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-20; 1й поезд по 1му пути: 5-44-30. по второму пути: 5-45-00; последний поезд по первому пути: 1-11-30. по второму пути: 1-21-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-20; 1й поезд по 1му пути: 5-44-30. по второму пути: 5-42-00; последний поезд по первому пути: 1-11-45. по второму пути: 1-16-55";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312251";
108;"Сухаревская";"37,63213219";"55,77224956";"Калужско-Рижская";"Действующая";"Сухаревская";"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-45; 1й поезд по 1му пути: 5-48-30. по второму пути: 5-45-00; последний поезд по первому пути: 1-39-00. по второму пути: 1-23-00";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-45; 1й поезд по 1му пути: 5-47-30. по второму пути: 5-45-00; последний поезд по первому пути: 1-39-00. по второму пути: 1-23-00";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85312252";
109;"Таганская";"37,65295616";"55,73943829";"Кольцевая";"Действующая";"Таганская";"в четные дни 1й поезд по 1му пути: 5-51-00. по второму пути: 5-41-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-23-00";"в нечетные дни 1й поезд по 1му пути: 5-51-00. по второму пути: 5-41-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-24-00";"0";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 0 малофункциональные (билеты на 1 и 2 поездки)";"85312263";
110;"Таганская";"37,65336779";"55,73972482";"Кольцевая";"Действующая";"Таганская";"в четные дни 1й поезд по 1му пути: 5-51-00. по второму пути: 5-41-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-23-00";"в нечетные дни 1й поезд по 1му пути: 5-51-00. по второму пути: 5-41-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-24-00";"0";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 0 малофункциональные (билеты на 1 и 2 поездки)";"85312264";
111;"Таганская";"37,653612";"55,73944729";"Кольцевая";"Действующая";"Таганская";"в четные дни 1й поезд по 1му пути: 5-51-00. по второму пути: 5-41-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-23-00";"в нечетные дни 1й поезд по 1му пути: 5-51-00. по второму пути: 5-41-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-24-00";"0";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 0 малофункциональные (билеты на 1 и 2 поездки)";"85312265";
112;"Таганская";"37,65333544";"55,74245502";"Кольцевая";"Действующая";"Таганская";"в четные дни 1й поезд по 1му пути: 5-51-00. по второму пути: 5-41-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-23-00";"в нечетные дни 1й поезд по 1му пути: 5-51-00. по второму пути: 5-41-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-24-00";"0";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 0 малофункциональные (билеты на 1 и 2 поездки)";"85312266";
113;"Тверская";"37,60391842";"55,7654023";"Замоскворецкая";"Действующая";"Тверская";"1й поезд по 1му пути: 5-51-00. по второму пути: 5-41-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-23-00";"1й поезд по 1му пути: 5-51-00. по второму пути: 5-41-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-23-00";"0";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 0 малофункциональные (билеты на 1 и 2 поездки)";"85312267";
114;"Тверская";"37,60563287";"55,76431497";"Замоскворецкая";"Действующая";"Тверская";"1й поезд по 1му пути: 5-51-00. по второму пути: 5-41-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-23-00";"1й поезд по 1му пути: 5-51-00. по второму пути: 5-41-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-23-00";"0";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 0 малофункциональные (билеты на 1 и 2 поездки)";"85312268";
115;"Театральная";"37,61781258";"55,75884462";"Замоскворецкая";"Действующая";"Театральная";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-38";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-38";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312269";
116;"Текстильщики";"37,72872186";"55,70853364";"Таганско-Краснопресненская";"Действующая";"Текстильщики";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-50; 1й поезд по 1му пути: 6-02-00. по второму пути: 5-41-30; последний поезд по первому пути: 1-43-00. по второму пути: 1-12-00";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-50; 1й поезд по 1му пути: 5-56-00. по второму пути: 5-41-30; последний поезд по первому пути: 1-43-00. по второму пути: 1-12-00";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312270";
117;"Текстильщики";"37,73313261";"55,70953473";"Таганско-Краснопресненская";"Действующая";"Текстильщики";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-50; 1й поезд по 1му пути: 6-02-00. по второму пути: 5-41-30; последний поезд по первому пути: 1-43-00. по второму пути: 1-12-00";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-50; 1й поезд по 1му пути: 5-56-00. по второму пути: 5-41-30; последний поезд по первому пути: 1-43-00. по второму пути: 1-12-00";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312271";
118;"Текстильщики";"37,73365898";"55,70895313";"Таганско-Краснопресненская";"Действующая";"Текстильщики";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-50";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-50";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312272";
119;"Сухаревская";"37,63285039";"55,77237426";"Калужско-Рижская";"Действующая";"Сухаревская";"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-45; 1й поезд по 1му пути: 5-48-30. по второму пути: 5-45-00; последний поезд по первому пути: 1-39-00. по второму пути: 1-23-00";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-45; 1й поезд по 1му пути: 5-47-30. по второму пути: 5-45-00; последний поезд по первому пути: 1-39-00. по второму пути: 1-23-00";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85312253";
120;"Сходненская";"37,43851327";"55,85141111";"Таганско-Краснопресненская";"Действующая";"Сходненская";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312254";
121;"Сходненская";"37,43886414";"55,85156162";"Таганско-Краснопресненская";"Действующая";"Сходненская";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312255";
122;"Сходненская";"37,43922702";"55,84960327";"Таганско-Краснопресненская";"Действующая";"Сходненская";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312256";
123;"Сходненская";"37,43921994";"55,84942204";"Таганско-Краснопресненская";"Действующая";"Сходненская";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312257";
124;"Сходненская";"37,44011583";"55,85162836";"Таганско-Краснопресненская";"Действующая";"Сходненская";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312258";
125;"Сходненская";"37,44040757";"55,85153585";"Таганско-Краснопресненская";"Действующая";"Сходненская";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55; 1й поезд по 1му пути: 5-39-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-50-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55; 1й поезд по 1му пути: 5-39-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-50-00";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312259";
126;"Сходненская";"37,44068034";"55,84975135";"Таганско-Краснопресненская";"Действующая";"Сходненская";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55; 1й поезд по 1му пути: 5-39-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-50-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55; 1й поезд по 1му пути: 5-39-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-50-00";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312260";
127;"Сходненская";"37,44075734";"55,84931835";"Таганско-Краснопресненская";"Действующая";"Сходненская";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55; 1й поезд по 1му пути: 5-39-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-50-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55; 1й поезд по 1му пути: 5-39-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-50-00";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312261";
128;"Сходненская";"37,44084196";"55,84969875";"Таганско-Краснопресненская";"Действующая";"Сходненская";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55; 1й поезд по 1му пути: 5-39-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-50-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-55; 1й поезд по 1му пути: 5-39-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-50-00";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312262";
129;"Сокол";"37,51579177";"55,8043722";"Замоскворецкая";"Действующая";"Сокол";"в четные дни открытие: 5-20. закрытие на вход: 1-00. закрытие на выход: 1-55";"в нечетные дни открытие: 5-20. закрытие на вход: 1-00. закрытие на выход: 1-55";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312237";
130;"Сокол";"37,51634813";"55,80510674";"Замоскворецкая";"Действующая";"Сокол";"в четные дни открытие: 5-20. закрытие на вход: 1-00. закрытие на выход: 1-55";"в нечетные дни открытие: 5-20. закрытие на вход: 1-00. закрытие на выход: 1-55";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312238";
131;"Сокол";"37,51651906";"55,8050706";"Замоскворецкая";"Действующая";"Сокол";"в четные дни открытие: 5-20. закрытие на вход: 1-00. закрытие на выход: 1-55";"в нечетные дни открытие: 5-20. закрытие на вход: 1-00. закрытие на выход: 1-55";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312239";
132;"Сокол";"37,51596283";"55,80433601";"Замоскворецкая";"Действующая";"Сокол";"в четные дни открытие: 5-20. закрытие на вход: 1-00. закрытие на выход: 1-55";"в нечетные дни открытие: 5-20. закрытие на вход: 1-00. закрытие на выход: 1-55";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312240";
133;"Сокольники";"37,67989579";"55,78930272";"Сокольническая";"Действующая";"Сокольники";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-42; 1й поезд по 1му пути: 5-37-20. по второму пути: 5-43-00; последний поезд по первому пути: 1-12-00. по второму пути: 1-34-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-42; 1й поезд по 1му пути: 5-37-20. по второму пути: 5-43-00; последний поезд по первому пути: 1-12-00. по второму пути: 1-34-00";"0";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 0 малофункциональные (билеты на 1 и 2 поездки)";"85312241";
134;"Сокольники";"37,67947141";"55,78922056";"Сокольническая";"Действующая";"Сокольники";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-42; 1й поезд по 1му пути: 5-37-20. по второму пути: 5-43-00; последний поезд по первому пути: 1-12-00. по второму пути: 1-34-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-42; 1й поезд по 1му пути: 5-37-20. по второму пути: 5-43-00; последний поезд по первому пути: 1-12-00. по второму пути: 1-34-00";"0";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 0 малофункциональные (билеты на 1 и 2 поездки)";"85312242";
