ROWNUM;STATION;X;Y;LINE;STATUS;VESTIBULE;MODE_EVEN;MODE_ODD;BPA_NUM;ESC_DATE_CHANGE;ESC_TYPE;ESC_HEIGHT;ESC_NUM;BPA_TYPE;GLOBALID;
467;"Крестьянская Застава";"37,6653269";"55,73233676";"Люблинская";"Действующая";"Крестьянская Застава";"открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-38";"1й поезд по 1му пути: 5-51-30. по второму пути: 5-43-10; последний поезд по первому пути: 1-19-30. по второму пути: 1-30-30";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312002";
468;"Кропоткинская";"37,60517249";"55,74571998";"Сокольническая";"Действующая";"Кропоткинская";"в четные дни открытие: 6-30. закрытие на вход: 22-30. закрытие на выход: 22-30; 1й поезд по 1му пути: 5-42-50. по второму пути: 5-53-20; последний поезд по первому пути: 1-26-00. по второму пути: 1-20-30";"в нечетные дни открытие: 6-30. закрытие на вход: 22-30. закрытие на выход: 22-30; 1й поезд по 1му пути: 5-42-50. по второму пути: 5-53-20; последний поезд по первому пути: 1-26-00. по второму пути: 1-20-30";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312003";
469;"Кропоткинская";"37,60178222";"55,74491549";"Сокольническая";"Действующая";"Кропоткинская";"в четные дни открытие: 6-30. закрытие на вход: 22-30. закрытие на выход: 22-30; 1й поезд по 1му пути: 5-42-50. по второму пути: 5-53-20; последний поезд по первому пути: 1-26-00. по второму пути: 1-20-30";"в нечетные дни открытие: 6-30. закрытие на вход: 22-30. закрытие на выход: 22-30; 1й поезд по 1му пути: 5-42-50. по второму пути: 5-53-20; последний поезд по первому пути: 1-26-00. по второму пути: 1-20-30";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312004";
470;"Крылатское";"37,40723887";"55,75772868";"Арбатско-Покровская";"Действующая";"Крылатское";"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-40";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-40";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312005";
471;"Крылатское";"37,4075704";"55,75552176";"Арбатско-Покровская";"Действующая";"Крылатское";"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-40";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-40";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312006";
472;"Крылатское";"37,4076535";"55,75528067";"Арбатско-Покровская";"Действующая";"Крылатское";"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 6-01-00. по второму пути: 5-49-00; последний поезд по первому пути: 1-47-00. по второму пути: 1-19-30";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 6-01-00. по второму пути: 5-52-00; последний поезд по первому пути: 1-47-00. по второму пути: 1-19-30";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312012";
473;"Кузнецкий мост";"37,62442413";"55,76155723";"Таганско-Краснопресненская";"Действующая";"Кузнецкий мост";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-35; 1й поезд по 1му пути: 5-48-00. по второму пути: 5-57-30; последний поезд по первому пути: 1-30-00. по второму пути: 1-25-00";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-35; 1й поезд по 1му пути: 5-42-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-30-00. по второму пути: 1-25-00";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312013";
474;"Кузьминки";"37,76315743";"55,70558707";"Таганско-Краснопресненская";"Действующая";"Кузьминки";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-52; 1й поезд по 1му пути: 6-05-30. по второму пути: 5-38-00; последний поезд по первому пути: 1-46-00. по второму пути: 1-09-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-52; 1й поезд по 1му пути: 5-59-00. по второму пути: 5-38-00; последний поезд по первому пути: 1-46-00. по второму пути: 1-09-00";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312014";
475;"Кузьминки";"37,76331862";"55,70600474";"Таганско-Краснопресненская";"Действующая";"Кузьминки";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-52; 1й поезд по 1му пути: 6-05-30. по второму пути: 5-38-00; последний поезд по первому пути: 1-46-00. по второму пути: 1-09-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-52; 1й поезд по 1му пути: 5-59-00. по второму пути: 5-38-00; последний поезд по первому пути: 1-46-00. по второму пути: 1-09-00";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312015";
476;"Кузьминки";"37,76773797";"55,70496801";"Таганско-Краснопресненская";"Действующая";"Кузьминки";"в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-52; 1й поезд по 1му пути: 6-05-30. по второму пути: 5-38-00; последний поезд по первому пути: 1-46-00. по второму пути: 1-09-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-52; 1й поезд по 1му пути: 5-59-00. по второму пути: 5-38-00; последний поезд по первому пути: 1-46-00. по второму пути: 1-09-00";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312016";
